书名,作者,出版社,价格,纸质版售价,豆瓣评分,评论数量
撒野,巫哲 , 北京联合出版公司 , 45.00元,***,8.6,(30024人评价)
梦里花落知多少,郭敬明 , 春风文艺出版社 , 20.00元, 7.20元起,7.1,(166290人评价)
挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 18.80元, 16.00元,8.0,(322727人评价)
麦田里的守望者,[美国] J. D. 塞林格  孙仲旭 , 译林出版社 , 28.00元, 22.10元,8.1,(65207人评价)
那些回不去的年少时光,桐华 , 江苏文艺出版社 , 23.80元, 23.80元,8.4,(50651人评价)
挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 23.00元, 22.10元,8.5,(108159人评价)
情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元, 13.50元,8.6,(89599人评价)
最好的我们,八月长安 , 湖南文艺出版社 , 55元, 37.80元,8.7,(59208人评价)
强风吹拂,三浦紫苑  林佩瑾、李建铨、杨正敏 , 广西师范大学出版社 , 39.00元, 26.90元,9.0,(12843人评价)
夏日终曲,[美] 安德烈·艾席蒙  吴妍蓉 , 外语教学与研究出版社 , 39.90元,***,8.8,(16535人评价)
从你的全世界路过,张嘉佳 , 湖南文艺出版社 , 36.00元, 23.40元,7.0,(109393人评价)
挪威的森林,[日]村上春树  林少华 , 上海译文出版社 , 38.00元,***,8.6,(8987人评价)
微微一笑很倾城,顾漫 , 江苏文艺出版社 , 25.00元, 3.00元起,7.9,(96807人评价)
何以笙箫默,顾漫 , 朝华出版社 , 15.00元, 17.10元,7.8,(139648人评价)
会有天使替我爱你,明晓溪 , 新世界出版社 , 20.00元, 14.00元,6.6,(49233人评价)
雨季不再来,三毛 , 北京十月文艺出版社 , 28.00元, 20.20元起,8.7,(42976人评价)
平凡的世界,路遥 , 北京十月文艺出版社 , 99.00元, 74.30元,9.1,(17549人评价)
怦然心动,文德琳·范·德拉安南  陈常歌 , 百花洲文艺出版社 , 42.80元, 30.50元,9.1,(3871人评价)
少年凯歌,陈凯歌 , 人民文学出版社 , 10.00元,***,9.2,(5733人评价)
十年一品温如言,书海沧生 , 江苏文艺出版社 , 59.80元, 42.80元,8.0,(5672人评价)
那小子真帅,[韩] 可爱淘  黄黉 , 世界知识出版社 , 18.80元, 2.60元起,6.5,(22765人评价)
动物凶猛,王朔 , 中国电影出版社 , 15.50元, 19.10元起,8.3,(29485人评价)
一个人就一个人,刘同 , 北京联合出版公司·磨铁图书 , 49.8元,***,7.4,(1377人评价)
海边的卡夫卡,[日] 村上春树  林少华 , 上海译文出版社 , 25.00元, 21.00元,8.1,(92346人评价)
悲伤逆流成河,郭敬明 , 长江文艺出版社 , 24.00元, 21.60元,6.2,(101906人评价)
且听风吟,[日] 村上春树  林少华 , 上海译文出版社 , 11.80元, 10.00元,7.8,(58987人评价)
绿毛水怪,王小波 , 北京十月文艺出版社 , 39.00元,***,9.1,(5841人评价)
