,书名,作者,出版社,售价,纸质版售价,豆瓣评分,评论数量
19,少年凯歌,陈凯歌 , 人民文学出版社 , 10.00元,***,9.2,5866人
27,绿毛水怪,王小波 , 北京十月文艺出版社 , 39.00元,***,9.1,6034人
17,怦然心动,文德琳·范·德拉安南  陈常歌 , 百花洲文艺出版社 , 42.80元,30.50元,9.1,3958人
16,平凡的世界,路遥 , 北京十月文艺出版社 , 99.00元,74.30元,9.1,17773人
71,吞噬时间的恋人,王宇昆 , 天津人民出版社 , 42.00元,***,9.1,24人
7,强风吹拂,三浦紫苑  林佩瑾、李建铨、杨正敏 , 广西师范大学出版社 , 39.00元,26.90元,9.0,13077人
44,情书,岩井俊二  穆晓芳 , 南海出版公司 , 45.00元,***,8.9,5157人
59,白日事故,高台樹色  留守番 ,***, NTD 780元,***,8.8,1444人
48,潮骚,[日] 三岛由纪夫  张舟 , 北京十月文艺出版社 , 45元,45.00元,8.8,2066人
8,夏日终曲,[美] 安德烈·艾席蒙  吴妍蓉 , 外语教学与研究出版社 , 39.90元,***,8.8,16868人
9,最好的我们,八月长安 , 湖南文艺出版社 , 55元,37.80元,8.7,59545人
14,雨季不再来,三毛 , 北京十月文艺出版社 , 28.00元,20.20元起,8.7,43311人
37,小先生,咬春饼 , 青岛出版社 , 65.00元,65.00元,8.6,1018人
0,撒野,巫哲 , 北京联合出版公司 , 45.00元,***,8.6,30801人
10,挪威的森林,[日]村上春树  林少华 , 上海译文出版社 , 38.00元,***,8.6,9304人
6,情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元,13.50元,8.6,90029人
77,少年巴比伦,路内 , 重庆出版社 , 22.00元,16.00元,8.6,8806人
31,请以你的名字呼唤我,安德烈·艾席蒙  权景 , 中国友谊出版公司 , 29.80元,19.90元,8.6,10002人
5,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 23.00元,22.10元,8.5,108796人
81,十八岁出门远行,余华 , 作家出版社 , 3.90元,400.00元起,8.5,4547人
