,书名,作者,出版社,售价,纸质版售价,豆瓣评分,评论数量,cmt_num
2,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 18.80元,16.00元,8.0,323479人,323479
1,梦里花落知多少,郭敬明 , 春风文艺出版社 , 20.00元,7.20元起,7.1,166989人,166989
13,何以笙箫默,顾漫 , 朝华出版社 , 15.00元,17.10元,7.8,139784人,139784
11,从你的全世界路过,张嘉佳 , 湖南文艺出版社 , 36.00元,23.40元,7.0,109651人,109651
51,三重门,韩寒  NONE、NONE , 作家出版社 , 16.00元,4.00元起,7.4,109168人,109168
5,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 23.00元,22.10元,8.5,108797人,108797
38,幻城,郭敬明 , 春风文艺出版社 , 28.00元,7.10元起,7.0,102770人,102770
25,悲伤逆流成河,郭敬明 , 长江文艺出版社 , 24.00元,21.60元,6.2,102098人,102098
12,微微一笑很倾城,顾漫 , 江苏文艺出版社 , 25.00元,8.00元,7.9,96965人,96965
29,海边的卡夫卡,[日] 村上春树  林少华 , 上海译文出版社 , 25.00元,21.00元,8.1,92542人,92542
36,致我们终将逝去的青春,辛夷坞 , 朝华出版社 , 25.00元,7.80元,7.8,90634人,90634
6,情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元,13.50元,8.6,90029人,90029
30,一个人的好天气,[日] 青山七惠  竺家荣 , 上海译文出版社 , 15.00元,14.30元,7.6,84200人,84200
80,长安乱,韩寒 , 中国青年出版社 , 20.00元,20.90元,7.4,82579人,82579
3,麦田里的守望者,[美国] J. D. 塞林格  孙仲旭 , 译林出版社 , 28.00元,22.10元,8.1,65620人,65620
43,这些都是你给我的爱,文：安东尼、图：echo , 长江文艺出版社 , 24.80元,24.80元,8.3,60813人,60813
9,最好的我们,八月长安 , 湖南文艺出版社 , 55元,37.80元,8.7,59543人,59543
23,且听风吟,[日] 村上春树  林少华 , 上海译文出版社 , 11.80元,10.00元,7.8,59227人,59227
73,西决,笛安 , 长江文艺出版社 , 22.80元,22.80元,7.9,56531人,56531
84,他的国,韩寒 , 万卷出版公司 , 25.00元,19.70元,7.5,56072人,56072
